(0, 5, 0, 1, 0)
(3, 9, 2, 3, 2)
(6, 13, 4, 5, 6)
(9, 17, 6, 7, 12)
(12, 21, 8, 9, 20)
(15, 25, 10, 11, 30)
(18, 29, 12, 13, 42)
(21, 33, 14, 15, 56)
(24, 37, 16, 17, 72)
(27, 41, 18, 19, 90)
(30, 45, 20, 21, 110)
(33, 49, 22, 23, 132)
(36, 53, 24, 25, 156)
(39, 57, 26, 27, 182)
(42, 61, 28, 29, 210)
(45, 65, 30, 31, 240)
(48, 69, 32, 33, 272)
(51, 73, 34, 35, 306)
(54, 77, 36, 37, 342)
(57, 81, 38, 39, 380)
(60, 85, 40, 41, 420)
(63, 89, 42, 43, 462)
(66, 93, 44, 45, 506)
(69, 97, 46, 47, 552)
(72, 101, 48, 49, 600)
(75, 105, 50, 51, 650)
(78, 109, 52, 53, 702)
(81, 113, 54, 55, 756)
(84, 117, 56, 57, 812)
(87, 121, 58, 59, 870)
(90, 125, 60, 61, 930)
(93, 129, 62, 63, 992)
